branch,customer_name,line_qty,item_description,line_amount,customer_total_qty,customer_total_amount,order_id,order_sequence,line_index_in_order,report_generated_date,from_date,to_date,page_marker,source_file
Conut - Tyre,Person_0129,-1.0,FULL FAT MILK,0.0,0.0,0.0,ORD-000001,1,1,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0129,1.0,FULL FAT MILK,0.0,0.0,0.0,ORD-000001,1,2,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0129,1.0,PISTACHIO MILKSHAKE,893918.92,0.0,0.0,ORD-000001,1,3,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0129,-1.0,PISTACHIO MILKSHAKE,-893918.92,0.0,0.0,ORD-000001,1,4,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0129,-1.0,WHIPPED CREAM...,0.0,0.0,0.0,ORD-000001,1,5,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0129,1.0,WHIPPED CREAM...,0.0,0.0,0.0,ORD-000001,1,6,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,"CARAMEL SAUCE, (R)",0.0,10.0,2443378.38,ORD-000002,2,1,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,CHIMNEY THE ONE,1251486.48,10.0,2443378.38,ORD-000002,2,2,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,CLASSIC CHIMNEY,595945.95,10.0,2443378.38,ORD-000002,2,3,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,DELIVERY CHARGE,238378.38,10.0,2443378.38,ORD-000002,2,4,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,LOTUS SAUCE.,178783.78,10.0,2443378.38,ORD-000002,2,5,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,NUTELLA SPREAD CHIMNEY.,0.0,10.0,2443378.38,ORD-000002,2,6,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,PRESSED,0.0,10.0,2443378.38,ORD-000002,2,7,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,"STRAWBERRY,(R)",0.0,10.0,2443378.38,ORD-000002,2,8,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,STRAWBERRY.,178783.78,10.0,2443378.38,ORD-000002,2,9,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,1.0,WHITE CHOCOLATE SPREAD CHIMNEY.,0.0,10.0,2443378.38,ORD-000002,2,10,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,[CHOCOLATE DRESSING],0.0,19.0,2979729.72,ORD-000003,3,1,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,[CHOCOLATE DRESSING],0.0,19.0,2979729.72,ORD-000003,3,2,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,CLASSIC CHIMNEY,595945.95,19.0,2979729.72,ORD-000003,3,3,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,CONUT THE ONE,893918.92,19.0,2979729.72,ORD-000003,3,4,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,DELIVERY CHARGE,238378.38,19.0,2979729.72,ORD-000003,3,5,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,1.0,FULL FAT MILK,0.0,19.0,2979729.72,ORD-000003,3,6,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
