branch,customer_name,order_id,order_sequence,line_index_in_order,item_name_normalized,line_qty,line_amount,customer_total_qty,customer_total_amount,is_sellable_item,report_generated_date,from_date,to_date,page_marker,source_file
Conut - Tyre,Person_0130,ORD-000002,2,1,"CARAMEL SAUCE, (R)",1.0,0.0,10.0,2443378.38,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,2,CHIMNEY THE ONE,1.0,1251486.48,10.0,2443378.38,True,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,3,CLASSIC CHIMNEY,1.0,595945.95,10.0,2443378.38,True,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,4,DELIVERY CHARGE,1.0,238378.38,10.0,2443378.38,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,5,LOTUS SAUCE,1.0,178783.78,10.0,2443378.38,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,6,NUTELLA SPREAD CHIMNEY,1.0,0.0,10.0,2443378.38,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,7,PRESSED,1.0,0.0,10.0,2443378.38,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,8,STRAWBERRY,1.0,178783.78,10.0,2443378.38,True,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,9,"STRAWBERRY,(R)",1.0,0.0,10.0,2443378.38,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0130,ORD-000002,2,10,WHITE CHOCOLATE SPREAD CHIMNEY,1.0,0.0,10.0,2443378.38,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,1,CHOCOLATE DRESSING,2.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,2,CLASSIC CHIMNEY,1.0,595945.95,19.0,2979729.72,True,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,3,CONUT THE ONE,1.0,893918.92,19.0,2979729.72,True,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,4,DELIVERY CHARGE,1.0,238378.38,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,5,FULL FAT MILK,2.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,6,MOCHA FRAPPE,2.0,1072702.68,19.0,2979729.72,True,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,7,NO TOPPINGS,1.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,8,NUTELLA SPREAD CHIMNEY,1.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,1/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,9,NUTELLA SPREAD CONUT,1.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,10,PRESSED,1.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,11,REGULAR,2.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,12,STRAWBERRY,1.0,178783.78,19.0,2979729.72,True,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,13,"STRAWBERRY , (R)",1.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
Conut - Tyre,Person_0131,ORD-000003,3,14,WHIPPED CREAM,2.0,0.0,19.0,2979729.72,False,30-Jan-26,01-Jan-2026,30-Jan-2026,2/63,REP_S_00502.csv
